player,role
JJ Bumrah,Pace
Rashid Khan,Spin
YS Chahal,Spin
R Ashwin,Spin
Mohammed Shami,Pace
B Kumar,Pace
K Rabada,Pace
A Nortje,Pace
Moeen Ali,Spin
SP Narine,Spin
RA Jadeja,Spin
TA Boult,Pace
Mohammed Siraj,Pace
AR Patel,Spin
HV Patel,Pace
Avesh Khan,Pace
AD Russell,Pace
DJ Bravo,Pace
UT Yadav,Pace
Imran Tahir,Spin
SL Malinga,Pace
A Kumble,Spin
SK Warne,Spin
Harbhajan Singh,Spin
Piyush Chawla,Spin
A Mishra,Spin
DW Steyn,Pace
Z Khan,Pace
I Sharma,Pace
CH Morris,Pace
Kuldeep Yadav,Spin
Washington Sundar,Spin
RD Chahar,Spin
CV Varun,Spin
Ravi Bishnoi,Spin
T Natarajan,Pace
Umran Malik,Pace
J Archer,Pace
Arshdeep Singh,Pace
Mustafizur Rahman,Pace
MA Starc,Pace
PJ Cummins,Pace
SN Thakur,Pace
DL Chahar,Pace
CH Gayle,Spin
GJ Maxwell,Spin
KH Pandya,Spin
JD Unadkat,Pace
MM Sharma,Pace
MR Marsh,Pace
